,close,expma_expma
2022-01-11 14:00:00,9.2,9.182206
2022-01-11 14:01:00,9.17,9.1810435
2022-01-11 14:02:00,9.18,9.1809441
2022-01-11 14:03:00,9.19,9.1818066
2022-01-11 14:04:00,9.18,9.1816345
2022-01-11 14:05:00,9.02,9.1662408
2022-01-11 14:06:00,9.08,9.1580273
2022-01-11 14:07:00,9.09,9.1515486
2022-01-11 14:08:00,9.1,9.1466392
2022-01-11 14:09:00,9.13,9.1450545
2022-01-11 14:10:00,9.09,9.1398112
2022-01-11 14:11:00,9.11,9.136972
2022-01-11 14:12:00,9.11,9.1344033
2022-01-11 14:13:00,9.1,9.1311268
2022-01-11 14:14:00,9.13,9.1310195
2022-01-11 14:15:00,9.18,9.1356843
2022-01-11 14:16:00,9.18,9.1399048
2022-01-11 14:17:00,9.16,9.1418186
2022-01-11 14:18:00,9.13,9.1406931
2022-01-11 14:19:00,9.11,9.1377699
2022-01-11 14:20:00,9.16,9.1398871
2022-01-11 14:21:00,9.14,9.1398978
2022-01-11 14:22:00,9.14,9.1399076
2022-01-11 14:23:00,9.17,9.1427735
2022-01-11 14:24:00,9.16,9.1444141
2022-01-11 14:25:00,9.21,9.1506604
2022-01-11 14:26:00,9.2,9.1553594
2022-01-11 14:27:00,9.23,9.162468
2022-01-11 14:28:00,9.27,9.1727092
2022-01-11 14:29:00,9.27,9.181975
2022-01-11 14:30:00,9.26,9.1894059
2022-01-11 14:31:00,9.25,9.1951768
2022-01-11 14:32:00,9.23,9.1984933
2022-01-11 14:33:00,9.2,9.1986368
2022-01-11 14:34:00,9.08,9.187338
2022-01-11 14:35:00,9.14,9.1828297
2022-01-11 14:36:00,9.14,9.1787506
2022-01-11 14:37:00,9.27,9.1874411
2022-01-11 14:38:00,9.26,9.1943514
2022-01-11 14:39:00,9.23,9.1977465
2022-01-11 14:40:00,9.24,9.2017707
2022-01-11 14:41:00,9.25,9.2063639
2022-01-11 14:42:00,9.25,9.2105198
2022-01-11 14:43:00,9.29,9.2180893
2022-01-11 14:44:00,9.27,9.2230332
2022-01-11 14:45:00,9.23,9.2236967
2022-01-11 14:46:00,9.29,9.2300113
2022-01-11 14:47:00,9.31,9.2376293
2022-01-11 14:48:00,9.31,9.2445217
2022-01-11 14:49:00,9.31,9.2507577
2022-01-11 14:50:00,9.31,9.2563999
2022-01-11 14:51:00,9.31,9.2615046
2022-01-11 14:52:00,9.31,9.2661232
2022-01-11 14:53:00,9.31,9.270302
2022-01-11 14:54:00,9.31,9.2740827
2022-01-11 14:55:00,9.31,9.2775034
2022-01-11 14:56:00,9.31,9.2805984
2022-01-11 14:57:00,9.31,9.2833985
2022-01-11 14:58:00,,
2022-01-11 14:59:00,,
2022-01-11 15:00:00,9.31,9.285932
2022-01-12 09:30:00,8.38,9.1996527
2022-01-12 09:31:00,8.38,9.1215906
2022-01-12 09:32:00,8.38,9.0509629
2022-01-12 09:33:00,8.55,9.0032522
2022-01-12 09:34:00,8.75,8.9791329
2022-01-12 09:35:00,8.72,8.9544536
2022-01-12 09:36:00,8.71,8.9311723
2022-01-12 09:37:00,8.93,8.9310606
2022-01-12 09:38:00,8.83,8.9214358
2022-01-12 09:39:00,8.77,8.9070134
2022-01-12 09:40:00,8.78,8.8949168
2022-01-12 09:41:00,8.89,8.8944486
2022-01-12 09:42:00,8.98,8.9025963
2022-01-12 09:43:00,9.12,8.9233014
2022-01-12 09:44:00,9.05,8.935368
2022-01-12 09:45:00,8.99,8.940571
2022-01-12 09:46:00,9.16,8.961469
2022-01-12 09:47:00,9.03,8.9679958
2022-01-12 09:48:00,8.89,8.9605676
2022-01-12 09:49:00,8.96,8.9605136
2022-01-12 09:50:00,8.91,8.9557027
2022-01-12 09:51:00,9.01,8.9608739
2022-01-12 09:52:00,8.87,8.9522193
2022-01-12 09:53:00,8.76,8.9339127
2022-01-12 09:54:00,8.9,8.9306829
2022-01-12 09:55:00,8.8,8.9182369
2022-01-12 09:56:00,8.85,8.9117381
2022-01-12 09:57:00,8.85,8.9058583
2022-01-12 09:58:00,8.84,8.8995861
2022-01-12 09:59:00,8.96,8.9053398
2022-01-12 10:00:00,8.91,8.9057836
2022-01-12 10:01:00,8.89,8.9042804
2022-01-12 10:02:00,8.89,8.9029204
2022-01-12 10:03:00,8.94,8.9064518
2022-01-12 10:04:00,8.88,8.9039326
2022-01-12 10:05:00,8.9,8.903558
2022-01-12 10:06:00,8.86,8.8994097
2022-01-12 10:07:00,8.81,8.8908944
2022-01-12 10:08:00,8.83,8.885095
2022-01-12 10:09:00,8.88,8.8846097
2022-01-12 10:10:00,8.94,8.889885
2022-01-12 10:11:00,8.98,8.8984674
2022-01-12 10:12:00,8.99,8.9071848
2022-01-12 10:13:00,8.97,8.9131672
2022-01-12 10:14:00,9.05,8.9261989
2022-01-12 10:15:00,9.21,8.9532276
2022-01-12 10:16:00,9.31,8.9872059
2022-01-12 10:17:00,9.3,9.0169958
2022-01-12 10:18:00,9.35,9.0487105
2022-01-12 10:19:00,9.33,9.0755
2022-01-12 10:20:00,9.4,9.1064047
2022-01-12 10:21:00,9.54,9.1476995
2022-01-12 10:22:00,9.64,9.1945853
2022-01-12 10:23:00,9.52,9.2255772
2022-01-12 10:24:00,9.66,9.2669508
2022-01-12 10:25:00,9.64,9.3024793
2022-01-12 10:26:00,9.75,9.3451003
2022-01-12 10:27:00,9.6,9.3693764
2022-01-12 10:28:00,9.73,9.4037215
2022-01-12 10:29:00,9.6,9.4224147
2022-01-12 10:30:00,9.88,9.4659943
2022-01-12 10:31:00,9.75,9.4930424
2022-01-12 10:32:00,9.97,9.538467
2022-01-12 10:33:00,9.83,9.566232
2022-01-12 10:34:00,10.01,9.6084956
2022-01-12 10:35:00,9.99,9.6448294
2022-01-12 10:36:00,9.88,9.6672266
2022-01-12 10:37:00,9.88,9.6874907
2022-01-12 10:38:00,9.71,9.6896345
2022-01-12 10:39:00,9.85,9.7049074
2022-01-12 10:40:00,9.73,9.7072972
2022-01-12 10:41:00,9.95,9.7304117
2022-01-12 10:42:00,9.91,9.7475154
2022-01-12 10:43:00,9.98,9.7696568
2022-01-12 10:44:00,9.93,9.7849275
2022-01-12 10:45:00,9.87,9.7930297
2022-01-12 10:46:00,10.12,9.8241697
2022-01-12 10:47:00,10.1,9.8504393
2022-01-12 10:48:00,10.02,9.8665879
2022-01-12 10:49:00,10.09,9.8878652
2022-01-12 10:50:00,10.01,9.8994971
2022-01-12 10:51:00,9.99,9.9081164
2022-01-12 10:52:00,9.98,9.9149625
2022-01-12 10:53:00,9.94,9.917347
2022-01-12 10:54:00,10.02,9.9271235
2022-01-12 10:55:00,10.14,9.9473975
2022-01-12 10:56:00,10.24,9.9752644
2022-01-12 10:57:00,10.24,10.0004773
2022-01-12 10:58:00,10.24,10.023289
2022-01-12 10:59:00,10.24,10.0439281
2022-01-12 11:00:00,10.24,10.0626016
2022-01-12 11:01:00,10.24,10.0794967
2022-01-12 11:02:00,10.24,10.0947827
2022-01-12 11:03:00,10.24,10.108613
2022-01-12 11:04:00,10.24,10.121126
2022-01-12 11:05:00,10.24,10.1324473
2022-01-12 11:06:00,10.24,10.1426905
2022-01-12 11:07:00,10.24,10.151958
2022-01-12 11:08:00,10.24,10.160343
2022-01-12 11:09:00,10.24,10.1679294
2022-01-12 11:10:00,10.24,10.1747932
2022-01-12 11:11:00,10.24,10.1810034
2022-01-12 11:12:00,10.24,10.1866221
2022-01-12 11:13:00,10.24,10.1917057
2022-01-12 11:14:00,10.24,10.1963052
2022-01-12 11:15:00,10.24,10.2004666
2022-01-12 11:16:00,10.24,10.2042317
2022-01-12 11:17:00,10.24,10.2076382
2022-01-12 11:18:00,10.24,10.2107203
2022-01-12 11:19:00,10.24,10.2135088
2022-01-12 11:20:00,10.24,10.2160318
2022-01-12 11:21:00,10.24,10.2183145
2022-01-12 11:22:00,10.24,10.2203798
2022-01-12 11:23:00,10.24,10.2222484
2022-01-12 11:24:00,10.24,10.223939
2022-01-12 11:25:00,10.24,10.2254686
2022-01-12 11:26:00,10.24,10.2268526
2022-01-12 11:27:00,10.24,10.2281047
2022-01-12 11:28:00,10.24,10.2292376
2022-01-12 11:29:00,10.24,10.2302626
2022-01-12 11:30:00,,
2022-01-12 13:00:00,10.24,10.2311899
2022-01-12 13:01:00,10.24,10.232029
2022-01-12 13:02:00,10.24,10.2327881
2022-01-12 13:03:00,10.24,10.233475
2022-01-12 13:04:00,10.24,10.2340964
2022-01-12 13:05:00,10.24,10.2346587
2022-01-12 13:06:00,10.24,10.2351674
2022-01-12 13:07:00,10.24,10.2356276
2022-01-12 13:08:00,10.24,10.236044
2022-01-12 13:09:00,10.24,10.2364208
2022-01-12 13:10:00,10.24,10.2367617
2022-01-12 13:11:00,10.24,10.2370701
2022-01-12 13:12:00,10.24,10.2373491
2022-01-12 13:13:00,10.24,10.2376016
2022-01-12 13:14:00,10.24,10.23783
2022-01-12 13:15:00,10.24,10.2380367
2022-01-12 13:16:00,10.24,10.2382237
2022-01-12 13:17:00,10.24,10.2383928
2022-01-12 13:18:00,10.24,10.2385459
2022-01-12 13:19:00,10.24,10.2386844
2022-01-12 13:20:00,10.24,10.2388097
2022-01-12 13:21:00,10.24,10.238923
2022-01-12 13:22:00,10.24,10.2390256
2022-01-12 13:23:00,10.24,10.2391184
2022-01-12 13:24:00,10.24,10.2392024
2022-01-12 13:25:00,10.24,10.2392783
2022-01-12 13:26:00,10.24,10.2393471
2022-01-12 13:27:00,10.24,10.2394093
2022-01-12 13:28:00,10.24,10.2394655
2022-01-12 13:29:00,10.24,10.2395164
2022-01-12 13:30:00,10.24,10.2395625
2022-01-12 13:31:00,10.24,10.2396041
2022-01-12 13:32:00,10.24,10.2396418
2022-01-12 13:33:00,10.24,10.239676
2022-01-12 13:34:00,10.24,10.2397068
2022-01-12 13:35:00,10.24,10.2397347
2022-01-12 13:36:00,10.24,10.23976
2022-01-12 13:37:00,10.24,10.2397829
2022-01-12 13:38:00,10.24,10.2398035
2022-01-12 13:39:00,10.24,10.2398223
2022-01-12 13:40:00,10.24,10.2398392
2022-01-12 13:41:00,10.24,10.2398545
2022-01-12 13:42:00,10.24,10.2398684
2022-01-12 13:43:00,10.24,10.2398809
2022-01-12 13:44:00,10.24,10.2398922
2022-01-12 13:45:00,10.24,10.2399025
2022-01-12 13:46:00,10.24,10.2399118
2022-01-12 13:47:00,10.24,10.2399202
2022-01-12 13:48:00,10.24,10.2399278
2022-01-12 13:49:00,10.24,10.2399347
2022-01-12 13:50:00,10.24,10.2399409
2022-01-12 13:51:00,10.24,10.2399465
2022-01-12 13:52:00,10.24,10.2399516
2022-01-12 13:53:00,10.24,10.2399562
2022-01-12 13:54:00,10.24,10.2399604
2022-01-12 13:55:00,10.24,10.2399642
2022-01-12 13:56:00,10.24,10.2399676
2022-01-12 13:57:00,10.24,10.2399707
2022-01-12 13:58:00,10.24,10.2399735
2022-01-12 13:59:00,10.24,10.239976
2022-01-12 14:00:00,10.24,10.2399783
2022-01-12 14:01:00,10.24,10.2399803
2022-01-12 14:02:00,10.24,10.2399822
2022-01-12 14:03:00,10.24,10.2399839
2022-01-12 14:04:00,10.24,10.2399854
2022-01-12 14:05:00,10.24,10.2399868
2022-01-12 14:06:00,10.24,10.2399881
2022-01-12 14:07:00,10.24,10.2399892
2022-01-12 14:08:00,10.24,10.2399902
2022-01-12 14:09:00,10.24,10.2399912
2022-01-12 14:10:00,10.24,10.239992
2022-01-12 14:11:00,10.24,10.2399928
2022-01-12 14:12:00,10.24,10.2399935
2022-01-12 14:13:00,10.24,10.2399941
2022-01-12 14:14:00,10.24,10.2399947
2022-01-12 14:15:00,10.24,10.2399952
2022-01-12 14:16:00,10.24,10.2399956
2022-01-12 14:17:00,10.24,10.239996
2022-01-12 14:18:00,10.24,10.2399964
2022-01-12 14:19:00,10.24,10.2399968
2022-01-12 14:20:00,10.24,10.2399971
2022-01-12 14:21:00,10.24,10.2399973
2022-01-12 14:22:00,10.24,10.2399976
2022-01-12 14:23:00,10.24,10.2399978
2022-01-12 14:24:00,10.24,10.239998
2022-01-12 14:25:00,10.24,10.2399982
2022-01-12 14:26:00,10.24,10.2399984
2022-01-12 14:27:00,10.24,10.2399985
2022-01-12 14:28:00,10.24,10.2399987
2022-01-12 14:29:00,10.24,10.2399988
2022-01-12 14:30:00,10.24,10.2399989
2022-01-12 14:31:00,10.24,10.239999
2022-01-12 14:32:00,10.24,10.2399991
2022-01-12 14:33:00,10.24,10.2399992
2022-01-12 14:34:00,10.24,10.2399993
2022-01-12 14:35:00,10.24,10.2399994
2022-01-12 14:36:00,10.24,10.2399994
2022-01-12 14:37:00,10.24,10.2399995
2022-01-12 14:38:00,10.24,10.2399995
2022-01-12 14:39:00,10.24,10.2399996
2022-01-12 14:40:00,10.24,10.2399996
2022-01-12 14:41:00,10.24,10.2399996
2022-01-12 14:42:00,10.24,10.2399997
2022-01-12 14:43:00,10.24,10.2399997
2022-01-12 14:44:00,10.24,10.2399997
2022-01-12 14:45:00,10.24,10.2399998
2022-01-12 14:46:00,10.24,10.2399998
2022-01-12 14:47:00,10.24,10.2399998
2022-01-12 14:48:00,10.24,10.2399998
2022-01-12 14:49:00,10.24,10.2399998
2022-01-12 14:50:00,10.24,10.2399999
2022-01-12 14:51:00,10.24,10.2399999
2022-01-12 14:52:00,10.24,10.2399999
2022-01-12 14:53:00,10.24,10.2399999
2022-01-12 14:54:00,10.24,10.2399999
2022-01-12 14:55:00,10.24,10.2399999
2022-01-12 14:56:00,10.24,10.2399999
2022-01-12 14:57:00,,
2022-01-12 14:58:00,,
2022-01-12 14:59:00,,
2022-01-12 15:00:00,10.24,10.2399999
