,600519.SH,000858.SZ,000568.SZ,600809.SH,002304.SZ,000799.SZ,600132.SH,000596.SZ,600600.SH,002568.SZ,688660.SH
2021-01-29,2116.18,291.14,257.7,374.42,204.01,177.18,134.36,244.0,88.79,119.3,
2021-02-01,2109.32,292.29,255.25,377.2,201.66,178.73,128.88,239.58,94.51,118.05,
2021-02-02,2145.0,304.12,279.18,403.0,208.99,184.5,136.89,247.0,96.9,124.26,
2021-02-03,2189.91,308.75,279.0,404.04,204.0,185.92,137.07,241.4,97.0,133.0,
2021-02-04,2320.85,313.6,279.06,391.56,202.7,186.01,135.57,245.0,95.03,133.5,
2021-02-05,2313.0,319.76,287.79,396.0,210.72,185.0,140.87,250.8,97.74,132.73,
2021-02-08,2368.8,320.0,290.5,395.0,217.9,174.29,151.37,243.8,94.18,133.22,
2021-02-09,2456.43,329.5,298.1,403.22,220.05,180.66,154.21,242.32,97.06,134.64,
2021-02-10,2601.0,342.65,313.99,443.54,228.81,186.2,162.0,252.53,95.78,139.13,
2021-02-18,2471.0,333.5,292.4,456.0,218.04,174.68,157.27,254.33,91.93,133.5,
2021-02-19,2460.0,344.4,298.01,423.81,216.4,172.98,155.0,251.25,91.0,130.52,
2021-02-22,2288.02,313.06,271.37,381.43,197.88,155.68,144.12,235.1,89.2,117.47,
2021-02-23,2307.0,315.0,274.46,372.0,200.01,154.04,142.26,253.88,87.2,110.93,
2021-02-24,2189.0,293.08,247.01,346.55,198.5,141.68,139.19,241.54,84.28,105.97,
2021-02-25,2150.0,288.9,243.17,337.0,198.55,136.7,128.62,235.3,81.88,100.35,
2021-02-26,2122.78,280.0,235.21,313.1,189.0,138.2,120.74,234.28,79.63,97.37,
2021-03-01,2158.0,289.02,238.35,310.52,187.19,138.0,118.3,227.06,79.19,94.51,
2021-03-02,2058.0,280.7,226.99,308.82,181.48,135.13,115.98,216.33,78.07,95.0,
2021-03-03,2140.0,285.3,232.01,316.52,186.5,143.98,116.07,222.49,78.7,96.7,
2021-03-04,2033.0,266.31,214.5,301.72,179.65,134.88,109.07,217.0,75.97,94.8,
2021-03-05,2060.11,266.5,217.36,310.78,179.91,136.93,109.17,217.38,76.9,94.7,
2021-03-08,1960.0,244.5,195.62,279.7,166.7,127.99,98.26,196.56,76.14,87.6,
2021-03-09,1936.99,242.5,187.21,257.9,160.83,123.1,94.7,187.15,75.02,84.36,
2021-03-10,1970.01,252.6,195.89,283.69,164.2,130.25,96.0,188.51,74.75,90.49,
2021-03-11,2048.0,265.04,207.02,300.99,166.89,140.49,99.0,192.25,78.46,92.7,
2021-03-12,2026.0,264.45,210.69,312.8,165.58,140.2,95.79,191.99,77.0,92.12,
2021-03-15,1975.45,251.01,196.0,285.66,157.87,129.99,91.0,188.31,74.12,89.79,
2021-03-16,2010.5,262.41,200.99,302.03,162.9,133.77,93.57,186.37,75.16,93.15,
2021-03-17,2030.36,264.31,210.05,306.85,161.66,135.7,97.79,190.34,78.2,94.3,
2021-03-18,2069.7,270.39,219.0,322.11,167.15,146.51,101.71,192.61,80.75,103.73,
2021-03-19,2010.0,260.79,214.51,313.0,159.71,143.09,102.57,187.35,79.72,98.3,
2021-03-22,1989.99,259.5,216.19,315.8,160.6,139.8,102.82,189.5,78.81,96.62,
2021-03-23,1996.0,262.25,219.9,314.91,160.66,139.8,101.42,191.68,79.8,99.41,
2021-03-24,1989.0,260.8,214.89,318.0,157.75,139.26,100.69,199.06,78.95,99.1,
2021-03-25,1971.0,255.98,210.7,318.8,160.0,138.41,102.02,198.0,79.95,99.12,
2021-03-26,2013.0,265.95,224.91,335.56,163.19,144.77,106.71,202.0,81.5,100.83,
2021-03-29,2034.1,272.09,224.48,342.39,164.89,158.17,111.37,218.0,83.8,105.99,
2021-03-30,2056.05,273.46,228.9,342.35,166.0,156.57,111.7,215.76,83.8,106.22,
2021-03-31,2009.0,267.98,225.02,332.8,164.7,152.16,111.29,210.17,84.64,109.0,
2021-04-01,2044.5,273.08,232.64,342.88,171.63,158.05,114.08,222.0,84.43,115.05,
2021-04-02,2162.0,284.56,247.9,368.29,174.1,173.86,117.58,228.9,84.43,115.0,
2021-04-06,2126.03,284.76,243.9,368.1,166.41,177.23,115.42,231.24,83.95,112.42,
2021-04-07,2061.0,270.85,229.0,346.05,159.16,167.19,113.29,215.3,82.64,113.58,
2021-04-08,2070.0,273.08,233.2,365.0,160.0,178.3,116.11,223.24,85.67,116.36,
2021-04-09,2020.0,265.3,223.87,348.0,155.92,171.25,116.29,222.5,86.0,111.1,
2021-04-12,2008.89,260.99,225.5,350.7,153.56,169.25,114.15,225.77,85.51,103.14,
2021-04-13,2021.0,262.9,233.9,346.0,151.0,170.53,118.74,226.39,87.01,107.53,
2021-04-14,2047.0,263.78,233.74,353.02,153.01,174.97,122.69,231.0,88.36,109.58,
2021-04-15,2015.6,255.8,231.67,351.99,150.46,173.95,123.69,229.17,86.95,111.19,
2021-04-16,2054.98,261.8,236.71,351.0,159.7,176.47,122.61,234.97,87.9,113.0,
2021-04-19,2088.0,265.67,239.14,354.52,161.19,175.4,122.95,244.05,88.09,113.55,
2021-04-20,2094.8,267.75,239.54,359.15,163.0,183.2,126.62,253.5,90.0,115.46,
2021-04-21,2080.0,270.85,244.6,382.24,165.58,188.9,131.63,263.5,93.28,118.1,
2021-04-22,2055.5,271.19,240.38,388.0,168.89,191.91,134.35,259.2,94.3,116.5,
2021-04-23,2108.94,280.0,249.61,390.49,171.55,192.52,139.26,254.03,92.6,118.7,
2021-04-26,2077.82,275.0,247.45,391.48,169.51,192.71,127.44,247.5,92.0,121.47,
2021-04-27,2094.44,281.82,251.0,406.28,171.22,194.2,132.4,245.18,92.82,124.12,
2021-04-28,2042.0,285.6,261.0,429.05,174.0,203.0,141.55,250.45,92.91,125.26,
2021-04-29,2026.36,289.5,262.98,416.0,191.4,197.91,149.98,252.59,92.51,125.48,
2021-04-30,2006.78,285.0,255.58,410.25,192.5,198.72,157.38,227.33,91.01,124.52,
2021-05-06,1959.0,276.44,239.88,406.36,183.3,196.64,153.47,204.64,90.45,116.5,
2021-05-07,1903.0,272.1,237.4,401.22,186.1,187.89,153.2,206.45,91.2,118.01,
2021-05-10,1879.03,264.0,226.03,396.0,185.6,190.8,150.87,201.99,92.99,118.5,
2021-05-11,1959.0,275.45,236.87,407.79,187.0,203.11,151.87,208.16,94.4,118.4,
2021-05-12,1984.0,277.51,243.3,424.5,183.48,217.0,151.02,209.91,94.6,123.14,
2021-05-13,1971.5,276.0,243.11,425.06,185.79,218.44,158.2,213.99,99.36,123.24,
2021-05-14,2009.85,287.0,247.8,434.66,185.72,219.28,170.55,217.86,101.89,125.63,
2021-05-17,2057.96,297.19,257.81,443.27,188.44,223.0,170.0,219.4,101.9,135.0,
2021-05-18,2059.31,299.5,257.9,445.0,186.0,228.16,176.08,216.5,103.0,135.3,
2021-05-19,2049.0,302.79,258.03,438.67,181.0,219.0,168.35,216.23,100.09,133.95,11.75
2021-05-20,2058.88,303.51,259.5,452.7,186.51,238.0,171.65,222.0,101.41,134.5,11.15
2021-05-21,2042.1,296.6,257.5,448.0,197.11,233.85,171.25,222.06,101.81,132.8,10.08
2021-05-24,2071.29,305.01,264.77,447.22,206.4,235.88,171.55,244.27,104.53,134.39,10.06
2021-05-25,2194.5,323.03,284.05,458.65,212.0,238.5,173.18,248.0,105.0,133.74,9.76
2021-05-26,2220.0,319.0,275.89,449.0,211.64,236.0,171.25,246.14,104.26,125.75,9.78
2021-05-27,2245.0,318.18,275.8,443.5,218.58,238.99,174.93,245.24,103.7,128.0,10.11
2021-05-28,2230.0,316.9,274.49,452.4,218.12,238.45,173.1,242.9,104.87,127.82,9.7
2021-05-31,2218.0,315.12,274.95,462.87,217.8,246.6,172.85,244.9,104.94,123.4,9.08
2021-06-01,2240.95,315.7,277.71,459.98,233.55,239.29,170.85,248.65,101.76,120.0,9.17
2021-06-02,2222.0,311.84,274.8,454.5,222.87,230.08,171.47,243.66,102.04,116.08,9.22
2021-06-03,2222.22,313.61,276.99,471.81,225.32,241.0,170.23,243.88,100.4,117.21,9.19
2021-06-04,2251.5,315.3,279.6,479.2,229.95,252.8,171.25,248.75,102.85,119.98,9.04
2021-06-07,2271.0,312.91,283.22,498.89,232.06,259.91,178.0,254.8,111.1,124.39,8.96
2021-06-08,2191.0,297.95,262.02,462.36,218.8,233.92,169.5,230.03,110.19,82.49,9.09
2021-06-09,2199.5,296.5,262.2,466.0,228.1,225.97,172.49,235.97,110.85,81.06,9.17
2021-06-10,2238.48,303.05,266.71,487.31,234.75,233.68,174.59,232.45,109.57,80.03,9.1
2021-06-11,2178.81,301.57,258.25,470.25,211.28,238.0,171.97,228.0,107.58,80.65,8.99
2021-06-15,2193.0,299.26,249.86,486.0,204.0,249.98,171.55,233.17,108.17,83.71,8.61
2021-06-16,2158.0,292.32,242.58,480.98,204.0,250.54,169.59,229.74,105.0,82.27,8.65
2021-06-17,2156.91,294.22,242.45,497.21,204.76,268.44,181.91,234.9,107.88,86.75,8.7
2021-06-18,2090.94,291.0,232.8,489.06,199.84,269.72,185.26,233.0,109.03,89.82,8.7
2021-06-21,2081.64,296.87,236.5,471.3,195.6,257.14,182.74,228.1,106.3,89.07,9.12
2021-06-22,2074.97,299.89,232.02,474.0,199.3,272.73,182.4,230.8,108.3,92.32,9.22
2021-06-23,2038.0,290.94,225.98,434.04,194.82,257.98,180.0,218.28,107.69,88.0,9.29
2021-06-24,2068.05,292.7,231.0,443.6,203.07,249.12,180.5,216.12,105.3,87.21,9.04
2021-06-25,2092.0,299.92,234.93,446.71,213.12,257.49,188.1,222.17,110.68,88.43,8.96
2021-06-28,2103.01,306.31,235.5,446.12,216.0,258.79,194.71,221.98,112.25,88.82,8.98
2021-06-29,2062.0,298.55,228.15,448.7,206.5,253.0,198.61,222.66,115.81,86.68,8.78
2021-06-30,2056.7,297.89,235.94,448.0,207.2,255.6,197.95,239.5,115.65,94.79,8.8
2021-07-01,2105.0,298.2,236.0,462.0,206.23,262.0,197.2,243.28,115.0,88.5,8.65
2021-07-02,2013.0,286.03,226.6,433.88,201.47,247.0,199.96,229.5,108.7,83.77,8.65
2021-07-05,1994.0,281.1,223.0,328.76,200.34,256.6,197.0,235.1,109.09,83.56,9.05
2021-07-06,2012.9,277.25,225.51,321.0,207.04,251.1,194.16,235.7,106.11,80.9,8.92
2021-07-07,2004.0,284.59,227.65,327.99,202.39,262.16,198.65,239.08,106.48,83.53,9.0
2021-07-08,1985.0,269.84,220.7,339.0,198.18,256.9,188.0,234.83,99.48,80.68,8.98
2021-07-09,1972.11,267.28,216.51,316.7,185.1,236.0,184.2,222.99,96.65,77.61,8.94
2021-07-12,1961.0,270.95,223.8,311.0,192.0,236.09,183.01,242.08,97.34,78.73,9.03
2021-07-13,1982.9,276.0,224.36,341.2,193.8,244.0,190.0,238.0,99.99,82.4,9.39
2021-07-14,1962.0,275.3,225.62,355.53,194.0,242.22,197.5,232.06,98.14,83.03,9.32
2021-07-15,1997.99,280.83,228.11,374.15,195.85,253.9,203.31,233.65,101.61,87.97,9.55
2021-07-16,1955.9,277.52,222.2,370.11,206.41,244.6,199.1,227.91,98.41,84.46,9.7
2021-07-19,1975.0,280.89,228.48,373.8,206.54,244.8,197.8,227.5,99.75,85.33,9.39
2021-07-20,1980.0,282.3,226.04,371.5,206.1,244.94,197.48,226.99,101.8,85.42,9.73
2021-07-21,1969.0,281.22,222.72,367.9,205.9,247.2,205.03,245.5,101.78,85.18,9.7
2021-07-22,1940.01,280.1,216.55,359.68,200.68,243.58,202.59,231.25,99.34,82.88,9.78
2021-07-23,1900.0,271.21,216.5,354.77,196.68,239.5,193.91,221.0,97.08,79.49,9.55
2021-07-26,1804.11,249.54,199.68,320.0,182.49,215.55,174.52,204.93,92.72,74.86,9.36
2021-07-27,1712.89,231.15,190.0,321.36,176.96,211.5,159.68,199.5,90.07,68.98,9.8
2021-07-28,1768.9,236.68,191.29,321.85,173.37,212.5,167.37,197.0,90.44,72.51,10.08
2021-07-29,1749.79,235.05,185.35,315.0,171.0,208.05,171.68,198.33,88.0,74.8,10.65
2021-07-30,1678.99,220.75,171.1,286.0,162.99,191.87,154.51,185.89,80.28,69.53,10.62
2021-08-02,1755.0,234.45,180.89,311.03,172.3,211.06,163.42,190.8,83.68,74.49,10.93
2021-08-03,1749.3,240.05,187.85,313.68,173.9,212.2,164.3,194.22,86.9,76.99,10.33
2021-08-04,1724.0,234.5,180.73,309.0,173.27,208.03,165.66,188.66,84.53,76.02,11.22
2021-08-05,1699.0,227.17,176.62,309.25,172.0,206.0,170.0,181.55,83.96,77.35,11.07
2021-08-06,1671.0,226.0,178.54,308.88,170.08,210.84,164.52,180.4,82.08,76.35,10.94
2021-08-09,1693.8,230.01,179.7,309.99,171.29,212.74,176.8,181.71,87.2,83.99,10.73
2021-08-10,1799.0,248.9,194.69,332.49,178.26,228.9,187.83,198.18,89.69,87.68,10.74
2021-08-11,1750.5,246.2,190.2,324.2,174.54,226.09,176.4,197.93,87.19,85.72,10.67
2021-08-12,1690.0,237.92,186.53,321.0,172.11,225.55,176.8,199.04,86.55,82.78,10.92
2021-08-13,1700.04,240.8,188.9,322.7,172.64,225.51,174.0,204.29,86.98,82.54,10.62
2021-08-16,1699.2,240.7,188.48,327.6,172.5,223.96,179.0,208.3,88.67,81.85,10.62
2021-08-17,1635.0,229.95,179.38,304.61,165.58,211.6,165.96,197.99,86.88,78.12,10.49
2021-08-18,1620.0,229.0,179.55,304.45,170.57,212.19,173.19,201.66,95.57,78.36,10.11
2021-08-19,1619.97,222.65,176.82,299.11,169.97,209.15,155.87,198.0,90.3,78.85,10.07
2021-08-20,1548.0,206.38,161.38,272.04,158.92,188.25,140.28,190.5,85.48,74.69,10.24
2021-08-23,1570.19,206.04,167.67,270.2,167.2,188.58,136.18,199.55,86.7,75.16,10.91
2021-08-24,1625.18,210.0,174.1,278.1,169.65,202.1,146.17,199.41,89.7,78.1,10.67
2021-08-25,1665.02,217.5,176.15,284.55,173.46,217.96,146.21,207.25,89.12,77.59,11.17
2021-08-26,1595.0,207.17,170.03,275.8,170.0,208.53,140.5,204.59,89.69,74.87,10.81
2021-08-27,1596.03,205.68,169.38,281.0,169.1,213.0,143.0,198.32,87.95,74.08,10.67
2021-08-30,1586.0,207.0,177.15,279.97,169.4,217.91,138.76,211.76,84.55,73.28,10.77
2021-08-31,1558.0,201.69,170.0,277.52,167.54,209.48,140.15,212.0,86.32,71.67,10.31
2021-09-01,1622.01,207.71,182.18,278.99,171.0,214.82,139.3,221.2,87.09,75.18,10.33
2021-09-02,1618.8,201.23,179.11,268.02,169.16,208.35,136.0,219.98,86.03,70.81,12.39
2021-09-03,1658.22,205.89,184.3,267.14,166.32,208.78,132.6,220.16,86.16,71.24,12.1
2021-09-06,1670.67,211.46,187.0,280.77,171.86,225.13,142.55,226.43,90.2,69.98,11.77
2021-09-07,1669.0,211.97,186.96,285.18,171.67,235.0,143.43,227.85,89.69,71.0,11.99
2021-09-08,1633.1,207.72,181.91,275.46,167.88,231.66,137.97,227.03,88.5,66.86,12.03
2021-09-09,1634.08,207.33,181.41,275.4,166.48,234.42,137.01,230.0,88.0,67.05,11.61
2021-09-10,1662.58,213.7,187.39,289.7,171.06,239.61,139.5,229.85,87.6,64.54,11.71
2021-09-13,1654.0,207.79,184.93,293.22,172.7,237.04,134.67,224.82,86.51,63.55,11.85
2021-09-14,1657.0,205.73,181.52,299.59,172.2,235.95,134.18,220.58,85.77,62.94,11.75
2021-09-15,1615.74,198.5,172.87,289.98,167.27,233.3,128.3,218.5,82.4,61.69,12.92
2021-09-16,1638.07,197.0,174.2,297.25,172.99,231.33,124.52,213.0,80.5,61.75,12.31
2021-09-17,1686.0,201.95,181.99,316.86,177.0,254.46,134.15,217.98,81.94,63.47,13.25
2021-09-22,1637.69,193.93,174.42,311.0,167.75,251.0,133.07,204.95,79.2,61.88,13.86
2021-09-23,1635.0,194.42,177.12,311.91,164.51,257.6,130.13,207.65,78.98,64.17,12.89
2021-09-24,1694.0,200.52,186.4,321.71,164.01,259.9,130.71,218.0,79.05,65.37,12.77
2021-09-27,1855.0,220.57,205.04,324.9,172.67,263.0,138.44,239.8,83.23,70.09,12.13
2021-09-28,1822.06,216.94,213.03,317.0,166.89,257.1,134.28,242.98,81.9,70.7,12.49
2021-09-29,1820.0,218.68,211.5,318.0,165.79,250.5,131.0,238.5,80.2,69.0,12.05
2021-09-30,1830.0,219.39,221.58,315.5,166.08,247.73,131.23,238.52,80.53,74.49,12.41
2021-10-08,1839.6,228.22,225.33,325.0,178.23,255.1,136.3,244.9,83.8,71.48,11.41
2021-10-11,1867.12,227.8,224.5,317.6,180.5,250.4,134.0,245.63,83.3,65.82,11.23
2021-10-12,1870.99,229.34,225.15,319.0,182.1,242.0,133.67,242.88,82.85,65.3,11.24
2021-10-13,1929.9,239.49,238.28,333.8,188.21,250.1,137.5,247.27,86.99,67.56,11.27
2021-10-14,1911.0,240.0,238.89,340.45,186.05,253.99,141.35,239.92,85.0,65.11,11.65
2021-10-15,1916.97,234.32,234.69,346.8,184.24,250.59,137.83,234.8,84.1,65.83,11.46
2021-10-18,1800.0,215.32,224.92,312.12,171.6,225.53,132.52,223.8,80.3,63.91,11.83
2021-10-19,1812.18,218.97,231.37,329.99,176.86,231.0,129.17,236.0,80.76,64.9,11.79
2021-10-20,1841.0,219.94,232.13,329.8,179.66,235.96,126.96,236.18,79.32,63.37,12.11
2021-10-21,1844.0,220.99,231.9,326.62,180.49,233.41,124.91,235.98,78.39,65.18,11.78
2021-10-22,1901.0,225.03,231.91,328.13,182.5,233.47,128.38,236.0,80.05,64.86,11.5
2021-10-25,1873.03,220.36,230.6,323.61,181.2,231.55,135.87,234.8,83.51,64.64,12.53
2021-10-26,1861.05,220.66,232.9,319.89,180.44,229.25,142.28,234.1,91.86,63.3,12.51
2021-10-27,1819.0,216.0,225.13,310.4,179.39,223.6,135.8,227.8,92.0,60.0,12.67
2021-10-28,1825.49,215.29,227.29,307.1,186.15,217.91,136.77,224.15,94.8,62.13,12.86
2021-10-29,1826.08,216.51,228.95,301.5,186.18,214.91,150.45,227.65,104.28,63.6,12.77
2021-11-01,1803.0,204.94,231.2,286.7,186.1,210.89,158.1,234.1,94.63,64.97,13.0
2021-11-02,1804.64,201.32,224.0,285.9,179.5,206.9,162.61,227.99,98.07,67.73,13.0
2021-11-03,1765.0,199.13,223.01,282.1,174.94,209.0,161.0,222.55,97.35,67.01,13.13
2021-11-04,1804.2,206.82,234.77,293.32,186.68,213.4,162.44,244.81,99.19,68.37,15.02
2021-11-05,1819.94,210.31,229.7,295.28,185.5,213.18,159.21,241.46,97.66,68.45,14.34
2021-11-08,1820.1,210.99,231.5,299.9,180.61,212.1,157.04,243.0,96.52,67.07,14.02
2021-11-09,1790.01,208.77,226.97,302.01,179.2,210.4,154.19,240.26,95.66,64.46,14.02
2021-11-10,1753.99,205.7,219.05,297.9,175.92,208.12,152.0,235.53,93.7,60.95,13.89
2021-11-11,1769.6,206.51,218.8,295.0,177.0,207.0,152.0,234.55,92.81,61.81,13.46
2021-11-12,1773.78,203.85,210.0,291.89,174.37,203.65,154.89,232.75,93.71,63.0,13.93
2021-11-15,1761.14,204.7,211.46,296.25,175.14,202.98,159.9,229.12,97.59,62.06,13.48
2021-11-16,1808.0,212.0,221.8,310.7,177.75,209.4,163.1,252.03,97.88,63.94,13.41
2021-11-17,1795.0,211.51,222.63,309.95,175.8,205.3,163.0,249.58,97.61,62.0,14.33
2021-11-18,1792.0,208.62,223.15,311.12,174.6,205.08,161.5,260.98,98.43,61.5,14.23
2021-11-19,1828.41,212.6,230.53,311.7,175.08,206.22,164.0,260.97,98.52,60.72,14.59
2021-11-22,1854.27,215.97,227.48,310.2,178.96,211.01,155.33,263.01,96.8,60.11,14.49
2021-11-23,1896.43,214.8,226.05,308.17,173.47,215.99,152.35,261.7,99.94,60.93,13.99
2021-11-24,1941.0,224.42,234.95,318.01,176.53,221.2,152.97,263.3,102.5,61.26,14.44
2021-11-25,1956.03,222.95,234.94,315.18,175.1,219.69,152.07,260.86,103.8,60.76,14.45
2021-11-26,1941.01,222.86,233.68,315.0,176.01,225.85,149.55,255.98,102.3,59.9,14.68
2021-11-29,1985.0,224.73,235.5,315.1,175.85,234.98,145.59,255.21,100.9,59.8,14.26
2021-11-30,1930.77,218.0,230.05,310.02,174.3,224.58,144.59,253.67,98.77,58.32,13.88
2021-12-01,1932.99,220.56,232.11,312.42,173.57,229.8,148.92,255.0,98.6,57.1,13.4
2021-12-02,1934.0,222.75,237.18,314.98,174.48,237.79,147.22,256.1,97.27,56.63,13.2
2021-12-03,1971.88,229.45,252.3,324.51,176.91,243.15,150.5,264.0,100.79,57.29,13.42
2021-12-06,1967.3,232.3,244.38,321.0,175.75,243.65,150.38,259.9,101.1,61.2,13.21
2021-12-07,1955.87,234.0,246.47,318.7,172.2,241.3,154.39,258.32,102.41,61.1,13.28
2021-12-08,2043.0,244.0,252.87,330.84,185.97,241.39,157.91,268.54,105.7,62.02,13.37
2021-12-09,2086.55,251.0,253.3,334.0,186.4,241.1,164.85,268.55,105.87,68.22,13.17
2021-12-10,2090.0,247.0,252.17,334.11,185.06,244.72,162.88,265.92,105.94,68.56,13.19
2021-12-13,2118.2,249.98,254.43,339.67,188.7,238.83,159.25,263.6,105.2,67.57,13.34
2021-12-14,2150.0,250.0,260.4,340.93,186.42,238.95,160.31,274.0,103.77,66.45,13.45
2021-12-15,2135.0,243.8,261.22,335.0,181.6,235.96,156.8,269.72,101.87,64.5,13.36
2021-12-16,2118.99,243.5,257.88,313.0,180.67,230.91,156.8,271.0,101.77,63.41,13.39
2021-12-17,2050.7,235.16,248.51,304.3,174.81,227.38,154.04,263.88,99.7,62.0,13.32
2021-12-20,2058.96,236.0,247.65,310.9,174.5,227.48,150.37,260.9,99.05,61.12,11.87
2021-12-21,2038.2,231.65,248.0,303.84,174.3,222.6,154.02,260.87,102.27,62.1,12.03
2021-12-22,2048.0,232.12,252.28,299.01,174.0,223.03,157.72,265.5,102.05,61.72,12.0
2021-12-23,2120.0,237.01,263.0,306.08,174.08,229.0,156.46,264.16,101.44,64.15,12.32
2021-12-24,2194.09,241.94,261.2,307.45,174.54,228.47,157.06,262.51,105.09,63.72,11.91
2021-12-27,2131.82,236.21,261.19,321.41,171.56,231.81,153.11,252.6,102.15,65.28,11.85
2021-12-28,2138.18,237.58,260.8,326.0,173.7,232.8,158.82,267.0,104.0,64.8,11.96
2021-12-29,2041.0,225.7,243.0,315.53,168.4,216.2,158.4,247.51,100.5,61.77,11.81
2021-12-30,2075.0,225.5,254.0,320.38,167.87,214.45,156.0,248.01,100.51,62.07,11.61
2021-12-31,2050.0,222.66,253.87,315.78,164.73,212.5,151.32,244.0,99.0,59.83,11.85
2022-01-04,2051.23,223.56,250.64,310.5,164.7,209.8,144.6,236.06,99.66,59.59,11.83
2022-01-05,2024.0,223.75,247.87,305.01,166.65,206.6,140.48,231.56,101.0,58.8,11.42
2022-01-06,1982.22,219.48,241.75,301.8,164.48,208.5,138.35,234.97,97.87,57.76,11.33
2022-01-07,1942.0,217.66,236.68,295.0,164.68,197.92,131.5,228.42,96.7,55.47,10.92
2022-01-10,1966.0,214.96,237.2,288.4,164.15,191.99,131.0,228.26,95.14,53.66,10.94
2022-01-11,1940.55,213.36,231.0,290.0,161.3,191.0,126.38,222.52,89.92,51.26,10.79
2022-01-12,1967.0,217.92,230.16,285.23,161.43,192.99,129.5,222.92,90.74,51.7,11.04
2022-01-13,1877.39,208.9,224.0,280.88,156.8,182.58,129.1,212.66,89.23,49.51,10.87
2022-01-14,1867.0,207.2,227.15,275.9,154.1,180.41,127.0,208.29,90.23,48.36,10.9
2022-01-17,1861.61,208.84,229.68,279.37,155.12,180.05,128.45,209.0,89.18,48.51,10.96
2022-01-18,1892.27,211.49,235.72,283.28,159.98,184.9,130.82,208.87,89.45,48.09,11.15
